Date,AveragePrice,TotalVolume,Plu4046,Plu4225,Plu4770,TotalBags,SmallBags,LargeBags,XLargeBags,Type,Year,Region,,Type,Organic,,
1/4/2015,1.22,40873.28,2819.5,28287.42,49.9,9716.46,9186.93,529.53,0,conventional,2015,Albany,,,,,
1/4/2015,1.79,1373.95,57.42,153.88,0,1162.65,1162.65,0,0,organic,2015,Albany,,,,,
1/11/2015,1.24,41195.08,1002.85,31640.34,127.12,8424.77,8036.04,388.73,0,conventional,2015,Albany,,,,,
1/11/2015,1.77,1182.56,39,305.12,0,838.44,838.44,0,0,organic,2015,Albany,,,,,
1/18/2015,1.17,44511.28,914.14,31540.32,135.77,11921.05,11651.09,269.96,0,conventional,2015,Albany,,,,,
1/18/2015,1.93,1118.47,8.02,178.78,0,931.67,931.67,0,0,organic,2015,Albany,,,,,
1/25/2015,1.06,45147.5,941.38,33196.16,164.14,10845.82,10103.35,742.47,0,conventional,2015,Albany,,,,,
1/25/2015,1.89,1115.89,14.87,148.72,0,952.3,952.3,0,0,organic,2015,Albany,,,,,
2/1/2015,0.99,70873.6,1353.9,60017.2,179.32,9323.18,9170.82,152.36,0,conventional,2015,Albany,,,,,
2/1/2015,1.83,1228.51,33.12,99.36,0,1096.03,1096.03,0,0,organic,2015,Albany,,,,,
2/8/2015,1.59,1770.87,27.36,152.74,0,1590.77,1590.77,0,0,organic,2015,Albany,,,,,
2/15/2015,1.81,1182.3,22.74,83.02,0,1076.54,1076.54,0,0,organic,2015,Albany,,,,,
2/22/2015,1.07,45675.05,1088.38,35056.13,151,9379.54,9000.16,379.38,0,conventional,2015,Albany,,,,,
2/22/2015,1.82,1152.33,11.34,31.76,0,1109.23,1109.23,0,0,organic,2015,Albany,,,,,
3/1/2015,1.76,1663.35,32.82,105.25,0,1525.28,1525.28,0,0,organic,2015,Albany,,,,,
3/15/2015,1.11,43045.79,2128.26,30447.17,99.67,10370.69,9989.59,381.1,0,conventional,2015,Albany,,,,,
3/22/2015,1.12,46346.85,2141.83,34313.56,141.8,9749.66,9252.6,497.06,0,conventional,2015,Albany,,,,,
